nro,empresa,origen,sector,gradoAvanceRadicación,direccion,direccion2,latitude,longitude,noticias,url,meta keywords (de la pagina web),linkedin,"linkedin class=""basic-info-description""","nombre completo (<span itemprop=""name"">EMPRESA</span>) de Cuit Online",cuit,cuit online,,latitud,longitud,g_lat,g_lon,LineString,URL Google Maps,URL OSM,URL Gob,CALLE,NRO,Asignee,ExtraCol
1,STAR X,Nac.,HARDWARE,En Operación,PEPIRI 758,PEPIRI 758,-34.646838,-58.409251,,http://www.starx.com.ar/,,,,STARX SECURITY S.R.L.,30-70967328-5,https://www.cuitonline.com/detalle/30709673285/starx-security-s.r.l.html,,-34.646838,-58.409251,-34.6468541,-58.4092689,"LINESTRING(-58.409251 -34.646838,-58.4092689 -34.6468541)","https://maps.googleapis.com/maps/api/geocode/json?address=PEPIRI 758, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=PEPIRI 758, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Florencia Besteiro,"LINESTRING (longitud latitud, g_lon g_lat)"
2,IRON MOUNTAIN,Ext.,BPO,En Operación,AMANCIO ALCORTA 2482,AV. AMANCIO ALCORTA 2482,-34.642431,-58.396043,,,,,,IRON MOUNTAIN ARGENTINA S.A.,30-68250405-2,https://www.cuitonline.com/detalle/30682504052/iron-mountain-argentina-s.a.html,,-34.642431,-58.396043,-34.6424371,-58.3960018,"LINESTRING(-58.396043 -34.642431,-58.3960018 -34.6424371)","https://maps.googleapis.com/maps/api/geocode/json?address=AV. AMANCIO ALCORTA 2482, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=AV. AMANCIO ALCORTA 2482, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Florencia Besteiro,"LINESTRING (-58.409251 -34.646838, -58.4092689 -34.6468541)"
3,TATA,Ext.,BPO,En Operación,USPALLATA 3034,USPALLATA 3034,-34.640273,-58.405826,['http://www.canal-ar.com.ar/nota.asp?Id=7914'],http://www.tcs.com/worldwide/s_america/locations/argentina/Pages/default.aspx,,,,Tata Consultancy Services Argentina S.A.,30-70784821-5,https://www.cuitonline.com/detalle/30707848215/tata-consultancy-services-argentina-sociedad-anonima.html,,-34.640273,-58.405826,-34.6402383,-58.405578,"LINESTRING(-58.405826 -34.640273,-58.405578 -34.6402383)","https://maps.googleapis.com/maps/api/geocode/json?address=USPALLATA 3034, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=USPALLATA 3034, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Florencia Besteiro,"LINESTRING (-58.396043 -34.642431, -58.3960018 -34.6424371)"
5,IBC ARGENTINA,Nac.,SOFTWARE,En Operación,CATULO CASTILLO 2930 PB 5,CATULO CASTILLO 2930,-34.634559,-58.404877,[],https://ibcargentina.com.ar/,"IBC,ibc,Information Business Consulting,IT Services,CRM,Distrito,Distrito Tecnológico,consulting,IT,soporte,saas,cloud,google apps,google for works",https://www.linkedin.com/company/1151717,"IBC Argentina ® - Information Business Consulting Argentina, Proveemos servicios en IT, contribuimos con las organizaciones en la mejora continua de sus procesos vinculando las mejores prácticas en IT a los objetivos de nuestros clientes.",,...,...,,-34.634559,-58.404877,-34.6345103,-58.4048769,"LINESTRING(-58.404877 -34.634559,-58.4048769 -34.6345103)","https://maps.googleapis.com/maps/api/geocode/json?address=CATULO CASTILLO 2930, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=CATULO CASTILLO 2930, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Florencia Besteiro,"LINESTRING (-58.405826 -34.640273, -58.405578 -34.6402383)"
6,CMD - COMPAÑÍA MEDIOS DIGITALES,Nac.,BPO,En Operación,COLONIA 156/170,COLONIA 156,-34.637635,-58.398115,[],,,,,COMPAÑIA DE MEDIOS DIGITALES (CMD) S.A.,30-70918629-5,https://www.cuitonline.com/detalle/30709186295/compania-de-medios-digitales-(cmd)-s.a.html,,-34.637635,-58.398115,-34.6376595,-58.3981944,"LINESTRING(-58.398115 -34.637635,-58.3981943999999 -34.6376595)","https://maps.googleapis.com/maps/api/geocode/json?address=COLONIA 156, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=COLONIA 156, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Florencia Besteiro,"LINESTRING (-58.404877 -34.634559, -58.4048769 -34.6345103)"
7,CZYNE,Nac.,SOFTWARE,En Operación,CATULO CASTILLO 3230 OFI 22 - 2,CATULO CASTILLO 3230,-34.635597,-58.409747,[],,,,,CZYNE SOCIEDAD DE RESPONSABILIDAD LIMITADA,30-70706598-9,,,-34.635597,-58.409747,-34.6355627,-58.4097417,"LINESTRING(-58.409747 -34.635597,-58.4097417 -34.6355627)","https://maps.googleapis.com/maps/api/geocode/json?address=CATULO CASTILLO 3230, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=CATULO CASTILLO 3230, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Florencia Besteiro,"LINESTRING (-58.398115 -34.637635, -58.3981943999999 -34.6376595)"
8,DATCO,Nac.,SOFTWARE,En Operación,CATULO CASTILLO 3251,CATULO CASTILLO 3251,-34.63553,-58.409921,[],,,,,,,,,-34.63553,-58.409921,-34.6355705,-58.4099262,"LINESTRING(-58.409921 -34.63553,-58.4099262 -34.6355705)","https://maps.googleapis.com/maps/api/geocode/json?address=CATULO CASTILLO 3251, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=CATULO CASTILLO 3251, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Florencia Besteiro,"LINESTRING (-58.409747 -34.635597, -58.4097417 -34.6355627)"
9,AVANZIT,Nac.,SOFTWARE,En Operación,La Rioja 2011,LA RIOJA 2011,-34.634845,-58.405875,[],,,,,,,,,-34.634845,-58.405875,-34.6349557,-58.4059878,"LINESTRING(-58.405875 -34.634845,-58.4059878 -34.6349557)","https://maps.googleapis.com/maps/api/geocode/json?address=LA RIOJA 2011, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=LA RIOJA 2011, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Florencia Besteiro,"LINESTRING (-58.409921 -34.63553, -58.4099262 -34.6355705)"
10,EXO,Nac.,HARDWARE,En Operación,CHICLANA 3436 ,CHICLANA 3436,-34.635743,-58.413105,[],,,,,,,,,-34.635743,-58.413105,-34.6357115,-58.4131257,"LINESTRING(-58.413105 -34.635743,-58.4131256999999 -34.6357115)","https://maps.googleapis.com/maps/api/geocode/json?address=CHICLANA 3436, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=CHICLANA 3436, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Florencia Besteiro,"LINESTRING (-58.405875 -34.634845, -58.4059878 -34.6349557)"
11,SYSTEM MASTER,Nac.,SOFTWARE,En Operación,BEAZLEY 3549/3551,BEAZLEY 3549,-34.653011,-58.409813,[],,,,,,,,,-34.653011,-58.409813,-34.6529729,-58.4097897,"LINESTRING(-58.409813 -34.653011,-58.4097897 -34.6529729)","https://maps.googleapis.com/maps/api/geocode/json?address=BEAZLEY 3549, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=BEAZLEY 3549, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Florencia Besteiro,"LINESTRING (-58.413105 -34.635743, -58.4131256999999 -34.6357115)"
